Date,SIBT,ALDT,AIBT,Flight In,A/C Type,Flight Out,SOBT,AOBT,ATOT,Original Bay,Original Gate,Final Bay,Bay History 1,Bay Reason 1,Gate History 1,Gate Reason 1,Bay History 2,Bay Reason 2,Gate History 2,Gate Reason 2,Bay History 3,Bay Reason 3,Gate History 3,Gate Reason 3,Bay History 4,Bay Reason 4,Gate History 4,Gate Reason 4,Bay History 5,Bay Reason 5,Gate History 5,Gate Reason 5
3/5/2026,08:25/05,,,VZ 314,321,VZ 315,08:55/05,,,6,06I,4,4,Stand Occ,06I,,,Stand Occ,06I,,,,,,,,,,,,,
3/5/2026,08:30/05,,,FD 3160,320,FD 3159,09:00/05,,,4,04D,6,6,Stand Occ,04D,,,,,,,,,,,,,,,,,
3/5/2026,09:15/05,,,SQ 726,7M8,SQ 725,10:05/05,,,39,82I,39,,,,Gate Congestion,,,,,,,,,,,,,,,,
3/5/2026,09:25/05,,,TG 203,320,TG 204,10:25/05,,,6,06D,5,5,Stand Occ,06D,,,,,,,,,,,,,,,,,
3/5/2026,09:30/05,,,FD 4124,320,FD 4125,10:00/05,,,4,04D,6,6,Stand Occ,04D,,,,,,,,,,,,,,,,,
3/5/2026,09:35/05,,,PG 271,320,PG 272,10:15/05,,,5,05D,4,4,Fac INOP,05D,,,,,,,,,,,,,,,,,
3/5/2026,10:35/05,,,SL 758,738,SL 759,11:35/05,,,4,4,4,6,Stand Occ,6,Gate Congestion,,,,,,,,,,,,,,,,
3/5/2026,10:50/05,,,AK 832,320,AK 833,11:30/05,,,15,81,16,16,Stand Occ,81,,,,,,,,,,,,,,,,,
3/5/2026,11:15/05,,,FD 3029,320,FD 3030,11:45/05,,,1,84I,7,7,VVIP,84I,,,,,,,,,,,,,,,,,
3/5/2026,11:35/05,,,6E 1087,32N,6E 1088,12:35/05,,,16,82I,15,15,,82I,,,,,,,,,,,,,,,,,
3/5/2026,11:50/05,,,VZ 304,321,VZ 305,12:30/05,,,7,6,6,6,Stand Occ,6,,,,,,,,,,,,,,,,,
3/5/2026,12:00/05,,,PG 275,319,PG 276,12:45/05,,,6,7,7,7,,7,,,,,,,,,,,,,,,,,
3/5/2026,12:25/05,,,SU 276,77W,SU 277,14:35/05,,,9,14,14,14,Stand Occ,14,,,,,,,,,,,,,,,,,
3/5/2026,12:30/05,,,OD 540,7M8,OD 541,13:20/05,,,10,9,9,9,Stand Occ,9,,,,,,,,,,,,,,,,,
3/5/2026,13:00/05,,,AK 824,320,AK 825,13:35/05,,,7,07I,12,12,Stand Occ,07I,,,,,,,,,,,,,,,,,
3/5/2026,13:00/05,,,TG 207,320,TG 208,13:40/05,,,6,06I,5,5,Stand Occ,06I,,,,,,,,,,,,,,,,,
3/5/2026,13:10/05,,,VJ 809,321,VJ 808,14:10/05,,,3,84I,39,39,Stand Occ,84I,,,,,,,,,,,,,,,,,
3/5/2026,13:10/05,,,EO 3519,772,EO 3478,15:45/05,,,14,10,10,10,Stand Occ,10,,,,,,,,,,,,,,,,,
3/5/2026,13:15/05,,,JQ 071,32Q,JQ 072,14:45/05,,,16,9,9,9,Stand Occ,9,,,,,,,,,,,,,,,,,
3/5/2026,13:35/05,,,SL 756,738,SL 757,14:25/05,,,4,06i,6,6,Stand Occ,04I,Gate Congestion,,,,,,,,,,,,,,,,
3/5/2026,13:45/05,,,FD 4110,320,FD 4111,14:20/05,,,5,05D,6,6,Stand Occ,05D,,,,,,,,,,,,,,,,,
3/5/2026,13:50/05,,,FD 8165,320,FD 612,14:25/05,,,37,81I,16,16,Stand Occ,81I,,,,,,,,,,,,,,,,,
3/5/2026,14:15/05,,,PG 273,320,PG 274,15:00/05,,,6,04i,4,4,Stand Occ,06I,Gate Congestion,,,,,,,,,,,,,,,,
